book_id,title,author_id,genre,price,publication_year,page_count,isbn
1,The Buried Bone,1096,cooking,41.97,2006,411,6170728690834
2,Fading City,1998,romance,17.37,2018,324,3055312173762
3,Mirror of Citys,1532,reference,15.17,2003,719,3242530017582
4,Hidden Wolf,1974,thriller,15.47,1983,,8975027802395
5,Daughter of Thrones,1998,scifi,15.64,1991,561,868-9-022-83067-1
6,Forgotten City,826,mystery,20.56,2008,764,2784916888501
7,Broken Ghost,571,history,5.18,2003,537,3810126411000
8,Ghost of Silences,889,biography,39.88,2007,515,9046968459593
9,River of Kingdoms,1763,self-help,41.4,2005,403,8057748929301
10,Frozen Dream,1366,scifi,38.57,2006,360,384-3-938-03519-9
11,Wolf of Archives,1217,cooking,36.04,2009,714,3747547652037
12,Whisper of Mirrors,1721,cooking,36.28,1985,633,734-2-781-56722-1
13,The Quiet Heir,74,cooking,28.28,1987,100,3325785311109
14,Forgotten Mountain,148,fantasy,30.7,2019,,966-8-057-57298-7
15,Hollow Mirror,1755,cooking,8.65,1990,597,8564327113656
16,Garden of Wolfs,715,cooking,20.74,1999,486,8272947865899
17,Sudden Spark,1879,science,48.81,1981,412,543-3-783-58975-7
18,The Endless Hunter,627,thriller,49.44,2002,469,492-6-637-90667-4
19,Frozen Shadow,1594,poetry,19.38,1996,199,9050751799142
20,The Golden Dream,699,cooking,31.45,1998,,069-2-495-64792-0
21,The Frozen Wolf,900,reference,18.75,2014,392,720-2-520-21178-6
22,The Frozen Mirror,203,cooking,43.38,2010,99,782-3-954-13252-4
23,The Pale Winter,1403,scifi,18.53,1995,582,7794508129477
24,Sudden Hunter,1998,cooking,5.24,2021,497,4178243847343
25,Garden of Thrones,1903,science,25.92,2016,,840-6-826-01062-3
26,Last Whisper,280,science,30.49,1991,197,0719817470219
27,Crimson Winter,947,cooking,27.55,2006,518,4025284799225
28,The Last Shadow,1428,science,35.74,2019,308,4324486260516
29,Empire of Sparks,724,fiction,45.0,1984,178,4137354310493
30,Golden River,1891,history,48.5,2005,424,5930674664750
31,Spark of Paths,1955,cooking,34.3,2024,773,1731864611202
32,Daughter of Guests,1166,cooking,47.25,2010,245,862-8-010-60822-8
33,The Quiet Shadow,1334,history,21.49,1984,201,872-1-358-69998-9
34,The Hidden River,794,cooking,35.36,1986,870,232-4-215-37209-1
35,Mirror of Archives,1541,cooking,20.52,2010,824,3619903026122
36,The Quiet Ember,1998,self-help,9.28,2018,316,0522789027097
37,Last Ember,504,cooking,16.23,2000,,5598645704718
38,The Endless Shadow,221,science,33.24,2008,807,218-5-681-63485-6
39,Endless Empire,1998,cooking,32.26,1995,282,5166104717199
40,The Distant Machine,1095,reference,12.96,2010,145,9285037200875
41,Sudden Ember,1981,cooking,31.86,1989,,8665585365585
42,The Silent Dream,1334,mystery,49.48,1994,891,6720781023254
43,Last Ghost,494,romance,28.91,2002,250,871-1-134-42645-6
44,The Fading Mirror,1998,scifi,8.85,2018,476,4923333755415
