label,elapsed_ms
001,2.643
002,2.331
003,0.892
004,0.261
005,0.137
006,0.342
007,0.531
008,0.138
009,0.252
010,259.466
011,0.395
012,0.536
013,22.052
014,0.297
015,0.139
016,9.833
017,0.195
018,0.122
019,0.150
020,0.117
021,0.374
022,2.529
023,0.119
024,0.269
025,0.464
026,0.124
027,0.290
028,0.144
029,0.124
030,0.155
031,0.147
032,0.125
033,0.289
034,0.343
035,0.337
036,0.314
037,0.121
038,0.101
039,0.154
040,2.497
041,0.107
042,0.208
043,275.894
044,0.303
045,46.414
046,0.225
047,0.133
048,0.207
049,8.261
050,0.512
051,0.184
052,130.992
053,0.275
054,0.422
055,10.474
056,0.359
057,0.165
058,0.292
059,0.367
060,0.338
061,2.973
062,46.695
063,0.307
064,0.285
065,0.362
066,0.161
067,109.545
068,0.339
069,0.208
070,0.257
071,2.984
072,0.153
073,0.392
074,0.134
075,2.491
076,0.349
077,0.133
078,0.124
079,0.153
080,0.136
081,0.332
082,2.456
083,0.140
084,392.531
085,295.573
086,0.608
087,0.443
088,0.232
089,0.207
090,0.557
091,0.209
092,0.194
093,17.307
094,0.222
095,0.113
096,0.177
097,0.135
098,0.312
099,118.459
100,0.288
