label,elapsed_ms
001,12.617
002,28.620
003,130.414
004,114.707
005,0.740
006,9.672
007,176.325
008,0.668
009,114.528
010,694.325
011,0.865
012,8.886
013,5732.157
014,1.083
015,0.552
016,5487.452
017,0.612
018,0.505
019,118.817
020,0.657
021,187.054
022,6.102
023,0.456
024,9.076
025,6.090
026,0.413
027,8.075
028,107.098
029,166.290
030,0.560
031,0.623
032,0.397
033,9.043
034,9.090
035,248.186
036,11.237
037,0.569
038,0.541
039,0.557
040,5.954
041,0.495
042,113.088
043,629.769
044,0.643
045,188.967
046,0.635
047,0.413
048,0.513
049,5522.917
050,192.322
051,0.564
052,317.121
053,0.786
054,9.715
055,6064.035
056,8.906
057,0.607
058,124.848
059,197.301
060,197.903
061,5.289
062,202.378
063,0.667
064,120.819
065,186.738
066,0.562
067,292.914
068,1.010
069,0.534
070,0.581
071,5.680
072,0.645
073,237.166
074,0.664
075,5.428
076,9.689
077,0.547
078,0.378
079,0.556
080,114.134
081,9.164
082,5.937
083,114.890
084,903.781
085,653.841
086,9.106
087,118.568
088,0.814
089,0.450
090,187.427
091,0.755
092,0.556
093,5912.275
094,0.877
095,0.491
096,0.506
097,118.709
098,10.144
099,317.218
100,112.979
